NRLMLS NS
[[ -86. -124.] [ -82. -120.]],NULL,LAND
[[ -86. -120.] [ -82. -116.]],NULL,LAND
[[ -86. -116.] [ -82. -112.]],NULL,LAND
[[ -86. -112.] [ -82. -108.]],NULL,LAND
[[ -86. -108.] [ -82. -104.]],NULL,LAND
[[ -86. -104.] [ -82. -100.]],NULL,LAND
[[ -86. -100.] [ -82.  -96.]],NULL,LAND
[[-86. -96.] [-82. -92.]],NULL,LAND
[[-86. -92.] [-82. -88.]],NULL,LAND
[[-86. -88.] [-82. -84.]],NULL,LAND
[[-86. -84.] [-82. -80.]],NULL,LAND
[[-86. -80.] [-82. -76.]],NULL,LAND
[[-86. -76.] [-82. -72.]],NULL,LAND
[[-86. -72.] [-82. -68.]],NULL,LAND
[[-86. -68.] [-82. -64.]],NULL,LAND
[[-86. -64.] [-82. -60.]],NULL,LAND
[[-86. -60.] [-82. -56.]],NULL,LAND
[[-86. -56.] [-82. -52.]],NULL,LAND
[[-86. -52.] [-82. -48.]],NULL,LAND
[[-86. -48.] [-82. -44.]],NULL,LAND
[[-86. -44.] [-82. -40.]],NULL,LAND
[[-86. -40.] [-82. -36.]],NULL,LAND
[[-86. -36.] [-82. -32.]],NULL,LAND
[[-86. -32.] [-82. -28.]],NULL,LAND
[[-86. -28.] [-82. -24.]],NULL,LAND
[[-86. -24.] [-82. -20.]],NULL,LAND
[[-86. -20.] [-82. -16.]],NULL,LAND
[[-86. -16.] [-82. -12.]],NULL,LAND
[[-86. -12.] [-82.  -8.]],NULL,LAND
[[-86.  -8.] [-82.  -4.]],NULL,LAND
[[-86.  -4.] [-82.   0.]],NULL,LAND
[[-86.   0.] [-82.   4.]],NULL,LAND
[[-86.   4.] [-82.   8.]],NULL,LAND
[[-86.   8.] [-82.  12.]],NULL,LAND
[[-86.  12.] [-82.  16.]],NULL,LAND
[[-86.  16.] [-82.  20.]],NULL,LAND
[[-86.  20.] [-82.  24.]],NULL,LAND
[[-86.  24.] [-82.  28.]],NULL,LAND
[[-86.  28.] [-82.  32.]],NULL,LAND
[[-86.  32.] [-82.  36.]],NULL,LAND
[[-86.  36.] [-82.  40.]],NULL,LAND
[[-86.  40.] [-82.  44.]],NULL,LAND
[[-86.  44.] [-82.  48.]],NULL,LAND
[[-86.  48.] [-82.  52.]],NULL,LAND
[[-86.  52.] [-82.  56.]],NULL,LAND
[[-86.  56.] [-82.  60.]],NULL,LAND
[[-86.  60.] [-82.  64.]],NULL,LAND
[[-86.  64.] [-82.  68.]],NULL,LAND
[[-86.  68.] [-82.  72.]],NULL,LAND
[[-86.  72.] [-82.  76.]],NULL,LAND
[[-86.  76.] [-82.  80.]],NULL,LAND
[[-86.  80.] [-82.  84.]],NULL,LAND
[[-86.  84.] [-82.  88.]],NULL,LAND
[[-86.  88.] [-82.  92.]],NULL,LAND
[[-86.  92.] [-82.  96.]],NULL,LAND
[[-86.  96.] [-82. 100.]],NULL,LAND
[[-86. 100.] [-82. 104.]],NULL,LAND
[[-86. 104.] [-82. 108.]],NULL,LAND
[[-86. 108.] [-82. 112.]],NULL,LAND
[[-86. 112.] [-82. 116.]],NULL,LAND
[[-86. 116.] [-82. 120.]],NULL,LAND
[[-86. 120.] [-82. 124.]],NULL,LAND
[[-86. 124.] [-82. 128.]],NULL,LAND
[[-86. 128.] [-82. 132.]],NULL,LAND
[[-86. 132.] [-82. 136.]],NULL,LAND
[[-86. 136.] [-82. 140.]],NULL,LAND
[[-86. 140.] [-82. 144.]],NULL,LAND
[[-86. 144.] [-82. 148.]],NULL,LAND
[[-86. 148.] [-82. 152.]],NULL,LAND
[[-86. 152.] [-82. 156.]],NULL,LAND
[[-86. 156.] [-82. 160.]],NULL,LAND
[[-86. 160.] [-82. 164.]],NULL,LAND
[[-86. 164.] [-82. 168.]],NULL,LAND
[[-86. 168.] [-82. 172.]],NULL,LAND
[[-86. 172.] [-82. 176.]],NULL,LAND
[[-86. 176.] [-82. 180.]],NULL,LAND
[[ -82. -180.] [ -78. -176.]],NULL,LAND
[[ -82. -176.] [ -78. -172.]],NULL,LAND
[[ -82. -172.] [ -78. -168.]],NULL,LAND
[[ -82. -168.] [ -78. -164.]],NULL,LAND
[[ -82. -164.] [ -78. -160.]],NULL,LAND
[[ -82. -160.] [ -78. -156.]],NULL,LAND
[[ -82. -156.] [ -78. -152.]],NULL,LAND
[[ -82. -152.] [ -78. -148.]],NULL,LAND
[[ -82. -148.] [ -78. -144.]],NULL,LAND
[[ -82. -144.] [ -78. -140.]],NULL,LAND
[[ -82. -140.] [ -78. -136.]],NULL,LAND
[[ -82. -136.] [ -78. -132.]],NULL,LAND
[[ -82. -132.] [ -78. -128.]],NULL,LAND
[[ -82. -128.] [ -78. -124.]],NULL,LAND
[[ -82. -124.] [ -78. -120.]],NULL,LAND
[[ -82. -120.] [ -78. -116.]],NULL,LAND
[[ -82. -116.] [ -78. -112.]],NULL,LAND
[[ -82. -112.] [ -78. -108.]],NULL,LAND
[[ -82. -108.] [ -78. -104.]],NULL,LAND
[[ -82. -104.] [ -78. -100.]],NULL,LAND
[[ -82. -100.] [ -78.  -96.]],NULL,LAND
[[-82. -96.] [-78. -92.]],NULL,LAND
[[-82. -92.] [-78. -88.]],NULL,LAND
[[-82. -88.] [-78. -84.]],NULL,LAND
[[-82. -84.] [-78. -80.]],NULL,LAND
[[-82. -80.] [-78. -76.]],NULL,LAND
[[-82. -76.] [-78. -72.]],NULL,LAND
[[-82. -72.] [-78. -68.]],NULL,LAND
[[-82. -68.] [-78. -64.]],NULL,LAND
[[-82. -64.] [-78. -60.]],NULL,LAND
[[-82. -60.] [-78. -56.]],NULL,LAND
[[-82. -56.] [-78. -52.]],NULL,LAND
[[-82. -52.] [-78. -48.]],NULL,LAND
[[-82. -48.] [-78. -44.]],NULL,LAND
[[-82. -44.] [-78. -40.]],NULL,LAND
[[-82. -40.] [-78. -36.]],NULL,LAND
[[-82. -36.] [-78. -32.]],NULL,LAND
[[-82. -32.] [-78. -28.]],NULL,LAND
[[-82. -28.] [-78. -24.]],NULL,LAND
[[-82. -24.] [-78. -20.]],NULL,LAND
[[-82. -20.] [-78. -16.]],NULL,LAND
[[-82. -16.] [-78. -12.]],NULL,LAND
[[-82. -12.] [-78.  -8.]],NULL,LAND
[[-82.  -8.] [-78.  -4.]],NULL,LAND
[[-82.  -4.] [-78.   0.]],NULL,LAND
[[-82.   0.] [-78.   4.]],NULL,LAND
[[-82.   4.] [-78.   8.]],NULL,LAND
[[-82.   8.] [-78.  12.]],NULL,LAND
[[-82.  12.] [-78.  16.]],NULL,LAND
[[-82.  16.] [-78.  20.]],NULL,LAND
[[-82.  20.] [-78.  24.]],NULL,LAND
[[-82.  24.] [-78.  28.]],NULL,LAND
[[-82.  28.] [-78.  32.]],NULL,LAND
[[-82.  32.] [-78.  36.]],NULL,LAND
[[-82.  36.] [-78.  40.]],NULL,LAND
[[-82.  40.] [-78.  44.]],NULL,LAND
[[-82.  44.] [-78.  48.]],NULL,LAND
[[-82.  48.] [-78.  52.]],NULL,LAND
[[-82.  52.] [-78.  56.]],NULL,LAND
[[-82.  56.] [-78.  60.]],NULL,LAND
[[-82.  60.] [-78.  64.]],NULL,LAND
[[-82.  64.] [-78.  68.]],NULL,LAND
[[-82.  68.] [-78.  72.]],NULL,LAND
[[-82.  72.] [-78.  76.]],NULL,LAND
[[-82.  76.] [-78.  80.]],NULL,LAND
[[-82.  80.] [-78.  84.]],NULL,LAND
[[-82.  84.] [-78.  88.]],NULL,LAND
[[-82.  88.] [-78.  92.]],NULL,LAND
[[-82.  92.] [-78.  96.]],NULL,LAND
[[-82.  96.] [-78. 100.]],NULL,LAND
[[-82. 100.] [-78. 104.]],NULL,LAND
[[-82. 104.] [-78. 108.]],NULL,LAND
[[-82. 108.] [-78. 112.]],NULL,LAND
[[-82. 112.] [-78. 116.]],NULL,LAND
[[-82. 116.] [-78. 120.]],NULL,LAND
[[-82. 120.] [-78. 124.]],NULL,LAND
[[-82. 124.] [-78. 128.]],NULL,LAND
[[-82. 128.] [-78. 132.]],NULL,LAND
[[-82. 132.] [-78. 136.]],NULL,LAND
[[-82. 136.] [-78. 140.]],NULL,LAND
[[-82. 140.] [-78. 144.]],NULL,LAND
[[-82. 144.] [-78. 148.]],NULL,LAND
[[-82. 148.] [-78. 152.]],NULL,LAND
[[-82. 152.] [-78. 156.]],NULL,LAND
[[-82. 156.] [-78. 160.]],NULL,LAND
